drug_name,drug_id,disease_name,disease_id
propranolol,CHEBI:8499,hypertensive disorder,MONDO:0005044
loratadine,CHEBI:6538,atopic conjunctivitis,MONDO:0005642
oxytetracycline,CHEBI:133011,rickettsialpox,MONDO:0019360
meloxicam,CHEBI:6741,osteoarthritis,MONDO:0005178
cefuroxime,CHEBI:3515,bacterial meningitis,MONDO:0006670
dapsone,CHEBI:4325,leprosy,MONDO:0005124
piperacillin,CHEBI:8232,Pneumonia caused by Escherichia coli,UMLS:C0276089
azithromycin,CHEBI:2955,Infective otitis media,UMLS:C0729586
lidocaine,CHEBI:6456,scabies,MONDO:0004525
ampicillin,CHEBI:28971,Septicemia due to enterococcus,UMLS:C0588233
calcitonin (salmon),CHEBI:3306,postmenopausal osteoporosis,MONDO:0008159
temozolomide,CHEBI:72564,anaplastic astrocytoma,MONDO:0016684
tetracycline,CHEBI:27902,yaws,MONDO:0006019
aztreonam,CHEBI:94511,rhinoscleroma,MONDO:0005945
dexbrompheniramine,CHEBI:59269,familial dermatographia,MONDO:0007448
codeine,CHEBI:16714,Nasal congestion,HP:0001742
azathioprine,CHEBI:2948,autoimmune hepatitis,MONDO:0016264
magnesium citrate,PUBCHEM.COMPOUND:6099959,osteoporosis,MONDO:0005298
ziprasidone,CHEBI:10119,schizophrenia,MONDO:0005090
cloxacillin,CHEBI:49566,Recurrent lower respiratory tract infections,HP:0002783
triamcinolone,CHEBI:9667,Diamond-Blackfan anemia,MONDO:0015253
ciprofloxacin,CHEBI:100241,cystitis,MONDO:0006032
demeclocycline,UNII:5R5W9ICI6O,acute gonococcal cervicitis,MONDO:0001080
mechlorethamine,CHEBI:28925,mycosis fungoides,MONDO:0009691
cefdinir,CHEBI:3485,streptococcal pneumonia,MONDO:0005972
oxytetracycline,CHEBI:133011,Bacterial keratitis,UMLS:C0854211
moxifloxacin,CHEBI:63611,Abdominal Infection,UMLS:C1112209
amikacin,CHEBI:2637,Serratia sepsis,UMLS:C0152973
butorphanol,CHEBI:3242,Pain,HP:0012531
