,drug_name,drug_id,disease_name,disease_id
151,cefapirin,CHEBI:554446,Klebsiella cystitis,UMLS:C0520775
152,cortisol,CHEBI:5783,atopic conjunctivitis,MONDO:0005642
153,demeclocycline,UNII:5R5W9ICI6O,pneumonia,MONDO:0005249
154,diphenhydramine,CHEBI:4636,seasonal allergic rhinitis,MONDO:0005324
155,ofloxacin,CHEBI:194135,acute gonococcal endometritis,MONDO:0004264
156,clotrimazole,CHEBI:3764,tinea pedis,MONDO:0005984
157,amitriptyline,CHEBI:2666,depressive disorder,MONDO:0002050
158,propafenone,CHEBI:63619,Paroxysmal atrial flutter,UMLS:C0741292
159,eptifibatide,CHEBI:291902,intermediate coronary syndrome,MONDO:0006805
160,caffeine,CHEBI:27732,Sinus headache,UMLS:C0037195
161,ciprofloxacin,CHEBI:100241,Klebsiella cystitis,UMLS:C0520775
162,clemastine,CHEBI:3738,Nasal congestion,HP:0001742
163,oxytetracycline,CHEBI:133011,acute gonococcal endometritis,MONDO:0004264
164,cefoxitin,CHEBI:209807,Sepsis caused by Bacteroides,UMLS:C0276064
165,zopiclone,CHEBI:32315,insomnia,MONDO:0013600
166,ciprofloxacin,CHEBI:100241,anthrax infection,MONDO:0005119
167,cyclizine,CHEBI:3994,atopic conjunctivitis,MONDO:0005642
168,cefalotin,CHEBI:124991,Female genital tract infection,UMLS:C1263758
169,tazobactam,CHEBI:9421,Sepsis caused by Haemophilus influenzae,UMLS:C2887091
170,triamcinolone,CHEBI:9667,rheumatic heart disease,MONDO:0006955
171,fenofibrate,CHEBI:5001,hyperlipidemia,MONDO:0021187
172,gefitinib,CHEBI:49668,Epidermal growth factor receptor positive non-small cell lung cancer,UMLS:C1960925
173,hydrochlorothiazide,CHEBI:5778,congestive heart failure,MONDO:0005009
174,fumaric acid,CHEBI:18012,psoriasis,MONDO:0005083
175,vilanterol,CHEBI:75037,chronic bronchitis,MONDO:0005607
176,streptomycin,CHEBI:17076,brucellosis,MONDO:0005683
177,streptomycin,CHEBI:17076,granuloma inguinale,MONDO:0005777
178,desonide,CHEBI:204734,"dermatitis, atopic",MONDO:0011292
179,tafamidis,CHEBI:78538,Cardiac amyloidosis,HP:0030843
180,pazopanib,CHEBI:71219,sarcoma,MONDO:0005089
181,amoxicillin,CHEBI:2676,Streptococcal tonsillitis,UMLS:C0275804
182,prednisone,CHEBI:8382,rheumatoid arthritis,MONDO:0008383
183,algeldrate,PUBCHEM.COMPOUND:10176082,peptic ulcer disease,MONDO:0004247
184,prednisolone,CHEBI:8378,discoid lupus erythematosus,MONDO:0019558
185,cromoglicic acid,CHEBI:59773,giant papillary conjunctivitis,MONDO:0002308
186,cromoglicic acid,CHEBI:59773,allergic rhinitis,MONDO:0011786
187,cefotetan,PUBCHEM.COMPOUND:53024,escherichia coli infection,MONDO:0020920
188,prednisone,CHEBI:8382,"dermatitis, atopic",MONDO:0011292
189,prednisolone,CHEBI:8378,Transplanted organ rejection,UMLS:C0345468
190,valganciclovir,CHEBI:63635,fetal cytomegalovirus syndrome,MONDO:0017409
191,clonazepam,CHEBI:3756,Lennox-Gastaut syndrome,MONDO:0016532
192,algeldrate,PUBCHEM.COMPOUND:10176082,gastroesophageal reflux disease,MONDO:0007186
193,amikacin,CHEBI:2637,Neonatal sepsis,HP:0040187
194,spirapril,CHEBI:135756,hypertensive disorder,MONDO:0005044
195,losartan,CHEBI:6541,Hypertensive Urgency,UMLS:C0745138
196,phenylbutyrate,CHEBI:41500,carbamoyl phosphate synthetase I deficiency disease,MONDO:0009376
197,foslevodopa,CHEBI:192509,Parkinson disease,MONDO:0005180
198,captopril,CHEBI:3380,congestive heart failure,MONDO:0005009
199,ampicillin,CHEBI:28971,cholangitis,MONDO:0004789
200,bortezomib,CHEBI:52717,plasma cell myeloma,MONDO:0009693
201,diclofenac,CHEBI:47381,"Neck, shoulder and arm syndrome",UMLS:C0877543
202,tetracycline,CHEBI:27902,gonorrhea,MONDO:0004277
203,tranylcypromine,CHEBI:131510,major depressive disorder,MONDO:0002009
204,cefixime,CHEBI:93248,Upper Respiratory Infections,UMLS:C0041912
205,etidronic acid,CHEBI:4907,bone Paget disease,MONDO:0005382
206,glymidine,CHEBI:146188,type 2 diabetes mellitus,MONDO:0005148
207,mepyramine,CHEBI:6762,seasonal allergic rhinitis,MONDO:0005324
208,ertapenem,CHEBI:404903,Acute bacterial peritonitis,UMLS:C0275550
209,ibuprofen,CHEBI:5855,Flu-Like Symptoms,NCIT:C78302
210,azithromycin,CHEBI:2955,bacterial conjunctivitis,MONDO:0006668
211,chlophedianol,CHEBI:135207,vasomotor rhinitis,MONDO:0006004
212,astemizole,CHEBI:2896,chronic idiopathic urticaria,MONDO:0044212
213,linezolid,CHEBI:63607,staphylococcus aureus infection,MONDO:0005545
214,erlotinib,CHEBI:114785,pancreatic adenocarcinoma,MONDO:0006047
215,spectinomycin,CHEBI:9215,gonorrhea,MONDO:0004277
216,prednisone,CHEBI:8382,contact dermatitis,MONDO:0005480
217,lomefloxacin,CHEBI:116278,Recurrent lower respiratory tract infections,HP:0002783
218,floxuridine,CHEBI:60761,Primary malignant neoplasm of gastrointestinal tract,UMLS:C1306632
219,desonide,CHEBI:204734,Pruritus of genital organs,UMLS:C0033777
220,azlocillin,CHEBI:2956,Pneumonia caused by Pseudomonas,UMLS:C0155860
221,pazopanib,CHEBI:71219,renal cell carcinoma,MONDO:0005086
222,methylprednisolone,CHEBI:6888,contact dermatitis,MONDO:0005480
223,trovafloxacin,CHEBI:9763,Gonorrhea of rectum,UMLS:C0275665
224,triamcinolone,CHEBI:9667,allergic rhinitis,MONDO:0011786
225,thiabendazole,CHEBI:45979,ascariasis,MONDO:0005654
226,cromoglicic acid,CHEBI:59773,vernal conjunctivitis,MONDO:0002313
227,vancomycin,CHEBI:28001,arthropathy,MONDO:0006816
228,amoxicillin,CHEBI:2676,Bacterial urinary infection,UMLS:C0729524
229,entecavir,CHEBI:473990,chronic hepatitis B virus infection,MONDO:0005366
230,quinapril,CHEBI:8713,hypertensive disorder,MONDO:0005044
231,imatinib,CHEBI:45783,idiopathic hypereosinophilic syndrome,MONDO:0011895
232,phenmetrazine,CHEBI:8067,obesity disorder,MONDO:0011122
233,flunoxaprofen,CHEBI:76154,rheumatoid arthritis,MONDO:0008383
234,lansoprazole,CHEBI:6375,duodenal ulcer,MONDO:0005412
235,chlorpheniramine,CHEBI:52010,Sneeze,HP:0025095
236,acetyldigitoxin,CHEBI:53773,congestive heart failure,MONDO:0005009
237,prednisolone,CHEBI:8378,humoral hypercalcemia of malignancy,MONDO:0043455
238,cortisol,CHEBI:5783,humoral hypercalcemia of malignancy,MONDO:0043455
239,cefalotin,CHEBI:124991,Haemophilus influenzae pneumonia,UMLS:C0276026
240,prednisolone,CHEBI:8378,systemic lupus erythematosus,MONDO:0007915
241,ceftibuten,CHEBI:3510,Infective otitis media,UMLS:C0729586
242,acrivastine,CHEBI:83168,vasomotor rhinitis,MONDO:0006004
243,loratadine,CHEBI:6538,Rhinorrhea,HP:0031417
244,pravastatin,CHEBI:63618,stroke disorder,MONDO:0005098
245,sulbactam,CHEBI:9321,Bacterial peritonitis,UMLS:C0341503
246,isosorbide mononitrate,CHEBI:6060,Angina pectoris,HP:0001681
247,fluticasone,CHEBI:5134,contact dermatitis,MONDO:0005480
248,fluoxetine,CHEBI:5118,Premenstrual Dysphoric Disorder,UMLS:C0520676
249,betamethasone,CHEBI:3077,Pruritus of genital organs,UMLS:C0033777
250,prednisone,CHEBI:8382,Diamond-Blackfan anemia,MONDO:0015253
251,ceftizoxime,CHEBI:553473,Abdominal Infection,UMLS:C1112209
252,hydromorphone,CHEBI:5790,Cough,HP:0012735
253,colchicine,CHEBI:27882,gout,MONDO:0005393
254,ofloxacin,CHEBI:194135,Pneumonia caused by Escherichia coli,UMLS:C0276089
255,sertraline,CHEBI:9123,panic disorder,MONDO:0005383
256,nimetazepam,CHEBI:31912,insomnia,MONDO:0013600
257,ciprofloxacin,CHEBI:100241,bacterial conjunctivitis,MONDO:0006668
258,benzonatate,CHEBI:3032,Cough,HP:0012735
259,gilteritinib,CHEBI:145372,acute myeloid leukemia,MONDO:0018874
260,prednisolone,CHEBI:8378,Stevens-Johnson syndrome,MONDO:0018229
261,histamine,CHEBI:18295,acute myeloid leukemia,MONDO:0018874
