drug_name,drug_id,disease_name,disease_id
dexfenfluramine,CHEBI:439329,obesity disorder,MONDO:0011122
cortisol,CHEBI:5783,autoimmune disease,MONDO:0007179
cefotetan,PUBCHEM.COMPOUND:53024,Proteus pneumonia,UMLS:C1260917
bitolterol,CHEBI:3133,bronchitis,MONDO:0003781
moxifloxacin,CHEBI:63611,bacterial conjunctivitis,MONDO:0006668
labetalol,CHEBI:167638,hypertensive disorder,MONDO:0005044
phenprocoumon,CHEBI:50438,Thromboembolism,HP:0001907
oxytetracycline,CHEBI:133011,syphilis,MONDO:0005976
ofloxacin,CHEBI:194135,typhoid fever,MONDO:0005619
ampicillin,CHEBI:28971,gonorrhea,MONDO:0004277
oxaprozin,CHEBI:7822,osteoarthritis,MONDO:0005178
cefdinir,CHEBI:3485,Streptococcal tonsillitis,UMLS:C0275804
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009
azelastine,CHEBI:2950,seasonal allergic rhinitis,MONDO:0005324
triamcinolone,CHEBI:9667,contact dermatitis,MONDO:0005480
(-)-noradrenaline,CHEBI:18357,pulmonary emphysema,MONDO:0004849
vancomycin,CHEBI:28001,arthropathy,MONDO:0006816
cefaclor,CHEBI:3478,Haemophilus influenzae pneumonia,UMLS:C0276026
tranilast,CHEBI:77572,"dermatitis, atopic",MONDO:0011292
L-arginine,CHEBI:16467,Exposure to radiation,UMLS:C0015333
ciprofloxacin,CHEBI:100241,Infective otitis media,UMLS:C0729586
clarithromycin,CHEBI:3732,Pulmonary mycobacterium avium-intracellulare infection,UMLS:C0700226
zinc acetate,PUBCHEM.COMPOUND:11192,hemorrhoid,MONDO:0004872
olsalazine,CHEBI:7770,Ulcerative colitis in remission,UMLS:C3697010
amoxicillin,CHEBI:2676,Infective otitis media,UMLS:C0729586
risperidone,CHEBI:8871,schizophrenia,MONDO:0005090
acetazolamide,CHEBI:27690,Malignant glaucoma,UMLS:C0271152
doxycycline,PUBCHEM.COMPOUND:54671203,Gonorrhea of pharynx,UMLS:C0149966
methylprednisolone,CHEBI:6888,acute lymphoblastic leukemia,MONDO:0004967
cefuroxime,CHEBI:3515,Recurrent lower respiratory tract infections,HP:0002783
sildenafil,CHEBI:9139,pulmonary arterial hypertension,MONDO:0015924
demeclocycline,UNII:5R5W9ICI6O,syphilis,MONDO:0005976
hydrochlorothiazide,CHEBI:5778,Edema,HP:0000969
chlordiazepoxide,CHEBI:3611,mixed anxiety and depressive disorder,MONDO:0041086
rosuvastatin,CHEBI:38545,arteriosclerosis disorder,MONDO:0002277
minocycline,CHEBI:50694,Gonorrhea of rectum,UMLS:C0275665
buprenorphine,CHEBI:3216,Severe pain,UMLS:C0278140
ceftriaxone,CHEBI:29007,osteomyelitis,MONDO:0005246
amoxicillin,CHEBI:2676,rhinoscleroma,MONDO:0005945
levofloxacin,CHEBI:63598,otitis media,MONDO:0005441
nicotine,CHEBI:17688,pellagra,MONDO:0019975
acetazolamide,CHEBI:27690,Secondary glaucoma,UMLS:C0149893
trovafloxacin,CHEBI:9763,pneumonia caused by chlamydia,MONDO:0025598
velpatasvir,CHEBI:133009,chronic hepatitis C virus infection,MONDO:0005354
promazine,CHEBI:8459,Vomiting,HP:0002013
medroxyprogesterone,CHEBI:6715,postmenopausal osteoporosis,MONDO:0008159
norfloxacin,CHEBI:100246,pyelonephritis,MONDO:0006939
fluoxymesterone,CHEBI:5120,Androgen insufficiency,HP:0008226
cortisol,CHEBI:5783,Laryngeal edema,HP:0012027
hydroxyurea,CHEBI:44423,sickle cell anemia,MONDO:0011382
mometasone,CHEBI:6970,primary cutaneous T-cell non-Hodgkin lymphoma,MONDO:0000607
cefoxitin,CHEBI:209807,Bacterial urinary infection,UMLS:C0729524
montelukast,CHEBI:50730,allergic rhinitis,MONDO:0011786
acrivastine,CHEBI:83168,Sneeze,HP:0025095
progesterone,CHEBI:17026,postmenopausal atrophic vaginitis,MONDO:0001410
